noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
1,3300,Non-landed Properties,500-600,32164.50433,31749.63851,40-50,1124,KAMPONG BUGIS,KALLANG RIVERSIDE,12
3,4100,Non-landed Properties,1800-1900,38108.85134,27525.00622,170-180,1224,SIN MING AVENUE,FLAME TREE PARK,20
3,4700,Non-landed Properties,1800-1900,38108.85134,27525.00622,170-180,1024,SIN MING AVENUE,FLAME TREE PARK,20
3,4270,Non-landed Properties,1800-1900,38108.85134,27525.00622,170-180,1124,SIN MING AVENUE,FLAME TREE PARK,20
3,4500,Non-landed Properties,1300-1400,37557.54121,20136.86837,120-130,1224,HILLVIEW AVENUE,HILLVIEW APARTMENTS,23
NA,14000,Detached House,3500-4000,34650.5939,26382.56831,350-400,1124,UNIVERSITY ROAD,LANDED HOUSING DEVELOPMENT,11
NA,14000,Detached House,4000-4500,34650.5939,26382.56831,350-400,1124,UNIVERSITY ROAD,LANDED HOUSING DEVELOPMENT,11
NA,12000,Semi-Detached House,2000-2500,34650.5939,26382.56831,200-250,1224,UNIVERSITY ROAD,LANDED HOUSING DEVELOPMENT,11
NA,5200,Semi-Detached House,2000-2500,38156.19782,43092.12966,200-250,1124,MARIAM CLOSE,LANDED HOUSING DEVELOPMENT,17
NA,8000,Terrace House,2000-2500,,,150-200,1124,JALAN MAS KUNING,LANDED HOUSING DEVELOPMENT,05
3,9500,Non-landed Properties,1700-1800,33113.4527,27939.85894,160-170,1024,BALMORAL ROAD,NON-LANDED HOUSING DEVELOPMENT,10
3,8500,Non-landed Properties,1700-1800,33113.4527,27939.85894,160-170,1024,BALMORAL ROAD,NON-LANDED HOUSING DEVELOPMENT,10
NA,12200,Semi-Detached House,3000-3500,35334.82076,24944.13037,300-350,1024,GREENWOOD CRESCENT,THE GREENWOOD,11
NA,9750,Terrace House,2500-3000,35334.82076,24944.13037,200-250,1024,GREENWOOD CRESCENT,THE GREENWOOD,11
2,4400,Non-landed Properties,1000-1100,32877.65229,24856.34284,90-100,1224,FARRER ROAD,THE LEVELZ,10
2,4400,Non-landed Properties,900-1000,32877.65229,24856.34284,90-100,1024,FARRER ROAD,THE LEVELZ,10
2,4800,Non-landed Properties,900-1000,32877.65229,24856.34284,90-100,1024,FARRER ROAD,THE LEVELZ,10
3,6900,Non-landed Properties,2400-2500,32877.65229,24856.34284,220-230,1124,FARRER ROAD,THE LEVELZ,10
1,4200,Non-landed Properties,800-900,32877.65229,24856.34284,70-80,1124,FARRER ROAD,THE LEVELZ,10
NA,6700,Terrace House,2000-2500,35748.65264,20519.56763,200-250,1224,TOH TUCK ROAD,TECK HIANG GARDENS,21
3,4500,Non-landed Properties,1300-1400,32778.97962,33581.81022,120-130,1224,LORONG 24 GEYLANG,# 1 LOFT,14
1,2800,Non-landed Properties,400-500,32778.97962,33581.81022,40-50,1224,LORONG 24 GEYLANG,# 1 LOFT,14
3,4800,Non-landed Properties,1300-1400,32778.97962,33581.81022,120-130,1024,LORONG 24 GEYLANG,# 1 LOFT,14
1,2600,Non-landed Properties,400-500,32778.97962,33581.81022,40-50,1224,LORONG 24 GEYLANG,# 1 LOFT,14
1,3000,Non-landed Properties,500-600,32778.97962,33581.81022,50-60,1024,LORONG 24 GEYLANG,# 1 LOFT,14
2,2300,Non-landed Properties,500-600,41538.79557,29993.38804,50-60,1224,CACTUS ROAD,FLORAVILLE,28
3,3500,Non-landed Properties,800-900,41538.79557,29993.38804,70-80,1024,CACTUS ROAD,FLORAVILLE,28
3,4300,Non-landed Properties,1200-1300,41538.79557,29993.38804,110-120,1124,CACTUS ROAD,FLORAVILLE,28
NA,22000,Detached House,3500-4000,32933.52886,22219.93314,350-400,1024,HOLLAND GROVE WALK,LANDED HOUSING DEVELOPMENT,10
